"screen_width","window_height","age","totalTime_mins","comments","window_width","race","vision","curTime","gender","ethnicity","screen_height","subject"
3414,1005,34,28,"That was annoying and not really worth 1.5 if I'm honest...",3347,"white,asian","normal","25/07/2019@17:13:46","male","not_hispanic",1920,1
1280,1007,38,27,"",1200,"white","normal","25/07/2019@17:48:42","female","not_hispanic",800,2
1440,1005,49,35,"none, thank you",1390,"white","corrected","25/07/2019@19:34:34","female","not_hispanic",900,3
1187,1008,53,32,"very interesting",1436,"white","normal","25/07/2019@20:01:35","male","not_hispanic",667,4
1366,1007,22,32,"",1282,"white","corrected","25/07/2019@20:41:06","female","not_hispanic",768,5
1366,1006,37,33,"that was fun",1282,"white","corrected","25/07/2019@21:01:59","male","not_hispanic",768,6
1680,1007,69,36,"Thank you",1596,"white","corrected","25/07/2019@18:40:48","female","not_hispanic",1050,7
1525,1039,36,27,"",1362,"white","normal","25/07/2019@15:50:00","male","not_hispanic",858,8
1366,1007,28,38,"Thanks",1282,"black","normal","27/07/2019@04:06:26","male","not_hispanic",768,9
1440,1037,73,25,"",1360,"white","corrected","25/07/2019@16:35:10","male","not_hispanic",900,10
1536,1009,63,31,"easy to make mistakes when your fingers work faster than your mind.",1453,"white","normal","25/07/2019@15:34:13","male","not_hispanic",864,11
1366,1001,30,51,"",1430,"black","normal","25/07/2019@10:01:26","female","not_hispanic",768,12
1536,1010,70,36,"Mind Numbing!",1454,"white","corrected","25/07/2019@17:17:02","male","not_hispanic",864,13
1280,1018,26,41,"excellent.",1334,"black","normal","25/07/2019@14:44:05","male","not_hispanic",800,14
1366,1007,23,32,"nice",895,"black","normal","25/07/2019@17:48:04","male","not_hispanic",768,15
1440,1005,33,40,"",1390,"white","corrected","25/07/2019@18:32:10","male","hispanic",900,16
1366,1007,28,42,"No comments",1282,"white","normal","26/07/2019@02:36:12","male","hispanic",768,17
1280,1007,27,33,"best survey ever",1196,"white","corrected","26/07/2019@02:31:49","non-binary","hispanic",768,18
1920,1007,51,42,"",1820,"white","normal","25/07/2019@11:57:57","female","not_hispanic",1080,19
1536,1004,33,30,"",1620,"white,asian","corrected","25/07/2019@11:21:08","female","not_hispanic",864,20
1920,1007,31,32,"none so far",1853,"white","normal","25/07/2019@21:21:52","male","not_hispanic",1080,21
1366,1001,36,23,"INTERESTING",1430,"asian","normal","26/07/2019@10:56:01","male","not_hispanic",768,22
1366,1012,32,51,"",1316,"white","normal","26/07/2019@01:49:06","female","not_hispanic",768,23
1366,1007,48,34,"None",1282,"white","normal","25/07/2019@17:41:31","female","not_hispanic",768,24
1366,1007,46,35,"",1282,"white","corrected","25/07/2019@16:22:36","male","not_hispanic",768,25
1366,1001,50,31,"Thanks good luck with your work",1430,"white","normal","25/07/2019@17:11:43","male","not_hispanic",768,26
1536,675,41,49,"",1454,"black","normal","25/07/2019@21:18:13","male","not_hispanic",864,27
