"subject","cuedRunTime","windowWidth","redTask","screenHeight","blueTask","curTime","windowHeight","phase","userAgent","screenWidth","runTimeMins","rt","transition","taskCode","rsi","stimulus","trialCount","stimColor","error","responseKey"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,4148,"startBlock","mag",200,6,1,"blue",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,4203,"switch","par",200,8,2,"red",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1567,"repeat","par",200,9,3,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,629,"repeat","par",200,9,4,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,647,"repeat","par",200,3,5,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,2398,"switch","mag",200,4,6,"blue",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,2014,"switch","par",200,8,7,"red",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1991,"switch","mag",200,8,8,"blue",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1353,"switch","par",200,1,9,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1108,"repeat","par",200,4,10,"red",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1863,"repeat","par",200,1,11,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1215,"switch","mag",200,8,12,"blue",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,2559,"repeat","mag",200,4,13,"blue",1,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,4497,"repeat","mag",200,1,14,"blue",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1062,"repeat","mag",200,6,15,"blue",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1710,"switch","par",200,9,16,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,2069,"switch","mag",200,2,17,"blue",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,3061,"switch","par",200,1,1,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,662,"repeat","par",200,2,2,"red",1,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1730,"switch","mag",200,2,3,"blue",1,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,3602,"switch","par",200,2,4,"red",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,758,"repeat","par",200,3,5,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,741,"repeat","par",200,2,6,"red",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,4,1007,"switch","mag",200,1,7,"blue",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,1383,"switch","par",200,2,8,"red",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,623,"repeat","par",200,3,9,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,1693,"switch","mag",200,6,10,"blue",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,624,"repeat","mag",200,1,11,"blue",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,645,"repeat","mag",200,7,12,"blue",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,734,"repeat","mag",200,6,13,"blue",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,1437,"switch","par",200,9,14,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,550,"repeat","par",200,1,15,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,2062,"switch","mag",200,9,16,"blue",0,"k"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,1046,"switch","par",200,1,17,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,2438,"repeat","par",200,3,1,"red",0,"j"
1,470672,3364,"par",1920,"mag","25/07/2019@16:53:31",675,"pracCued","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,5,1439,"switch","mag",200,4,2,"blue",0,"j"
