"subject","meanChoiceRt","sdChoiceRt","windowWidth","redTask","screenHeight","blueTask","curTime","windowHeight","phase","userAgent","screenWidth","phaseRunTime","riskyDeckSwitchTop","phaseRunTimeMins","choiceRt","experimentRunTimeMins","outcomeSwitch","choiceResponseKey","selectedDeckLocation","choiceTrial","difficulty","chosenDeckId","leftDeckId","cuedResponseKey","rightDeckId","safeDeckSwitch","difference","riskyDeckSwitchBottom","condition","selectedRiskyDeck"
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,8,0,2030,26,11,"D","left",3,"Harder than Reference","safeDeck","safeDeck",NA,"riskyDeck",11,"Extreme",14,"HE",0
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,2,0,1169,26,5,"F","right",4,"Easier than Reference","safeDeck","riskyDeck",NA,"safeDeck",5,"Extreme",8,"EE",0
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,8,0,1993,26,14,"F","right",5,"Harder than Reference","riskyDeck","safeDeck",NA,"riskyDeck",11,"Extreme",14,"HE",1
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,12,0,1257,26,8,"F","right",6,"Harder than Reference","riskyDeck","safeDeck",NA,"riskyDeck",10,"Moderate",8,"HM",1
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,4,0,1313,26,6,"F","right",7,"Easier than Reference","safeDeck","riskyDeck",NA,"safeDeck",6,"Moderate",8,"EM",0
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,8,0,1193,26,5,"F","right",8,"Easier than Reference","safeDeck","riskyDeck",NA,"safeDeck",5,"Extreme",2,"EE",0
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,2,0,1048,26,5,"D","left",9,"Easier than Reference","safeDeck","safeDeck",NA,"riskyDeck",5,"Extreme",8,"EE",0
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,8,1,2096,26,8,"D","left",10,"Easier than Reference","riskyDeck","riskyDeck",NA,"safeDeck",6,"Moderate",4,"EM",1
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,8,1,1287,26,11,"F","right",11,"Harder than Reference","safeDeck","riskyDeck",NA,"safeDeck",11,"Extreme",14,"HE",0
1,1250,723.681506656708,3364,"par",1920,"mag","25/07/2019@17:13:21",675,"rapidFire","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36",3414,109246,8,1,1625,26,12,"F","right",12,"Harder than Reference","riskyDeck","safeDeck",NA,"riskyDeck",10,"Moderate",12,"HM",1
