subject,survey_code,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments
a0235_oooku3eys9,13146,19/11/2021@22:27:25,1451,1440,900,1391,1004,18,female,white,not_hispanic,normal,
a%252525604410_svizw33gfu,12603,12/11/2021@16:10:44,44,1440,900,1428,1004,18,female,white,hispanic,impaired,
a1926_qj0x93avxqc,12605,19/11/2021@15:33:20,32,1440,900,1440,1007,18,female,"other,no_response",not_hispanic,impaired,
a40919_fsdw2ik852v,12610,08/11/2021@12:40:22,28,1440,900,1440,1004,18,male,white,not_hispanic,normal,
a4165_q1a9gul2j9b,12615,11/11/2021@16:03:57,83,1440,900,1440,1007,19,female,white,not_hispanic,normal,"Towards the end of the experiment, staring at the screen started to hurt and my vision started to get spotty. "
a41823_ahl091r6rks,12608,08/11/2021@16:19:31,49,1440,900,1440,1007,18,female,white,not_hispanic,corrected,
a43011_a73kv74rkup,12606,15/11/2021@13:58:49,29,1440,900,1324,1007,20,male,"white,black",not_hispanic,corrected,
a5561_xveqah9tfk,12618,19/11/2021@12:42:39,33,1920,1080,1903,1007,21,female,white,not_hispanic,normal,
a6316_mznm33broy,12613,18/11/2021@19:15:04,35,1280,720,1263,1005,20,male,asian,not_hispanic,corrected,
a6325_j1aszi2m35,13172,09/11/2021@12:07:39,27,1280,720,1249,1005,17,female,black,not_hispanic,corrected,
a857_4lq67w46n2q,12607,18/11/2021@12:18:26,137,1536,864,1519,1010,18,female,black,not_hispanic,normal,
a9161_e9jmf6arz2q,12609,15/11/2021@15:53:58,29,1920,1080,1329,1004,20,male,"white,black",not_hispanic,normal,
a92322_iqpz76vmmj,12616,11/11/2021@16:52:18,28,1440,900,1407,1004,20,female,white,not_hispanic,normal,
b0106_gjqgnwa10xs,13115,10/11/2021@13:20:45,17,1680,1050,1503,1004,21,male,white,not_hispanic,normal,
b02028_8e1dla4ms8j,12625,12/11/2021@17:32:24,31,1440,900,1440,1007,19,male,white,hispanic,corrected,
b0288_zrz7yv6iwuc,12622,09/11/2021@19:54:18,27,2560,1440,2560,1329,20,male,white,not_hispanic,normal,
b0825_oak32q9nm3o,12627,08/11/2021@19:50:50,37,1440,900,1440,1007,18,female,asian,not_hispanic,impaired,
b10121_ovb6to4k7ad,12636,08/11/2021@15:20:55,35,1440,900,1440,1004,19,female,white,not_hispanic,corrected,It became frustrating and made my eyes tired
b11219_zyuiow6ypr,12626,10/11/2021@14:28:15,36,1440,900,1257,1007,18,female,white,not_hispanic,corrected,
b317_mjjxzo8ejr,12629,19/11/2021@09:41:38,36,1368,912,1351,1006,21,male,white,not_hispanic,normal,Brain Teaser
b32229_93cq2ri6poh,12621,10/11/2021@13:40:05,35,1440,900,1440,1004,18,female,white,not_hispanic,corrected,
b3245_3y74uumuspo,12634,08/11/2021@21:29:13,28,1504,1003,1487,1005,19,female,white,not_hispanic,normal,
b4117_6ya6xjbpqcr,12630,08/11/2021@10:15:20,32,1440,900,1440,1004,18,female,white,not_hispanic,corrected,
b42214_g5gibhr6zm,12631,08/11/2021@21:08:54,31,1440,900,1440,1004,19,male,white,not_hispanic,normal,
b6210_oqo9gmzpyhm,12619,09/11/2021@12:05:47,50,1440,900,1304,1007,20,female,white,not_hispanic,normal,n/a
b62526_tlyxwj86rf8,12620,10/11/2021@14:09:10,69,1440,900,1440,1004,18,female,white,not_hispanic,corrected,
b72930_bmemjsdh8d,12632,08/11/2021@19:58:03,38,1440,900,1440,1007,18,female,white,not_hispanic,corrected,
b8108_5mhiayf5dg3,12628,08/11/2021@09:24:12,29,1280,720,1263,1005,18,male,"white,other",hispanic,normal,
