"subject","choiceTrial","choiceRt","chosenDeckId","difference","difficulty","selectedDeckLocation","leftDeckId","rightDeckId","riskyDeckSwitchTop","riskyDeckSwitchBottom","safeDeckSwitch","corrected_effort_units","outcomeSwitch","condition","selectedRiskyDeck"
"a%25604410_svizw33gfu",3,2894,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,"true",11,"HE",0
"a%25604410_svizw33gfu",5,1556,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a%25604410_svizw33gfu",6,1408,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,"true",11,"HE",0
"a%25604410_svizw33gfu",7,2304,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,"true",6,"EM",0
"a%25604410_svizw33gfu",8,2485,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,"true",5,"EE",0
"a%25604410_svizw33gfu",9,1290,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,"true",6,"EM",0
"a%25604410_svizw33gfu",10,1688,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,"true",5,"EE",0
"a%25604410_svizw33gfu",11,1516,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a%25604410_svizw33gfu",12,1306,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,"true",11,"HE",0
"a%25604410_svizw33gfu",13,1272,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,"true",5,"EE",0
"a%25604410_svizw33gfu",14,1373,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,"true",6,"EM",0
"a%25604410_svizw33gfu",15,2893,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,"true",11,"HE",0
"a%25604410_svizw33gfu",16,1067,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a%25604410_svizw33gfu",17,1865,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a%25604410_svizw33gfu",18,1150,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,"true",6,"EM",0
"a%25604410_svizw33gfu",19,1489,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,"true",5,"EE",0
"a%25604410_svizw33gfu",20,1158,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,"true",11,"HE",0
"a%25604410_svizw33gfu",21,1295,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,"true",11,"HE",0
"a%25604410_svizw33gfu",22,1778,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,"true",5,"EE",0
"a%25604410_svizw33gfu",23,1154,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a%25604410_svizw33gfu",24,1613,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,"true",6,"EM",0
"a%25604410_svizw33gfu",25,1173,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,"true",10,"HM",0
"a%25604410_svizw33gfu",26,1189,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,"true",11,"HE",0
"a%25604410_svizw33gfu",27,1240,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,"true",6,"EM",0
"a%25604410_svizw33gfu",28,1004,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,"true",5,"EE",0
"a%25604410_svizw33gfu",29,1115,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,"true",10,"HM",0
"a%25604410_svizw33gfu",30,1267,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,"true",5,"EE",0
"a%25604410_svizw33gfu",31,2061,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,"true",6,"EM",0
"a%25604410_svizw33gfu",32,1830,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,"true",11,"HE",0
"a%25604410_svizw33gfu",33,1373,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a%25604410_svizw33gfu",34,1077,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,"true",6,"EM",0
"a%25604410_svizw33gfu",35,3736,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,"true",5,"EE",0
"a%25604410_svizw33gfu",36,990,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,"true",11,"HE",0
"a%25604410_svizw33gfu",37,1341,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,"true",11,"HE",0
"a%25604410_svizw33gfu",38,1167,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,"true",5,"EE",0
"a%25604410_svizw33gfu",39,3384,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,"true",6,"EM",0
"a%25604410_svizw33gfu",40,1062,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a0235_oooku3eys9",1,3317,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,"true",5,"EE",0
"a0235_oooku3eys9",2,3196,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,"true",6,"EM",0
"a0235_oooku3eys9",3,2493,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,"true",11,"HE",0
"a0235_oooku3eys9",4,2215,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a0235_oooku3eys9",5,1850,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,"true",11,"HE",0
"a0235_oooku3eys9",6,1541,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,"true",10,"HM",0
"a0235_oooku3eys9",7,3063,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,"true",5,"EE",0
"a0235_oooku3eys9",8,1339,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,"true",6,"EM",0
"a0235_oooku3eys9",9,4288,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,"true",11,"HE",0
"a0235_oooku3eys9",10,2376,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,"true",6,"EM",0
"a0235_oooku3eys9",11,1782,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,"true",5,"EE",0
"a0235_oooku3eys9",12,2080,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,"true",10,"HM",0
"a0235_oooku3eys9",13,2848,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,"true",11,"HE",0
"a0235_oooku3eys9",14,2466,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,"true",10,"HM",0
"a0235_oooku3eys9",15,1771,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,"true",6,"EM",0
"a0235_oooku3eys9",16,2318,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,"true",5,"EE",0
"a0235_oooku3eys9",17,1732,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,"true",10,"HM",0
"a0235_oooku3eys9",18,1621,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,"true",11,"HE",0
"a0235_oooku3eys9",19,1847,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,"true",5,"EE",0
"a0235_oooku3eys9",20,1995,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,"true",6,"EM",0
"a0235_oooku3eys9",21,1814,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,"true",5,"EE",0
"a0235_oooku3eys9",22,3856,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,"true",11,"HE",0
"a0235_oooku3eys9",23,3354,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,"true",6,"EM",0
"a0235_oooku3eys9",24,1573,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a0235_oooku3eys9",25,2923,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,"true",5,"EE",0
"a0235_oooku3eys9",26,1985,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",14,8,11,"true",11,"HE",0
"a0235_oooku3eys9",27,1712,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,"true",6,"EM",0
"a0235_oooku3eys9",28,1899,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a0235_oooku3eys9",29,2499,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
"a0235_oooku3eys9",30,2702,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,"true",8,"EM",1
"a0235_oooku3eys9",32,4007,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,"true",14,"HE",1
"a0235_oooku3eys9",33,2649,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,"true",11,"HE",0
"a0235_oooku3eys9",34,2444,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,"true",5,"EE",0
"a0235_oooku3eys9",35,2054,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,"true",10,"HM",0
