subject,survey_code,curTime,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,phase,blueTask,redTask,phaseRunTime,corrected_effort_units,choiceTrial,experimentRunTimeMins,phaseRunTimeMins,condition,difference,difficulty,cuedResponseKey,choiceResponseKey,leftDeckId,rightDeckId,riskyDeckSwitchTop,riskyDeckSwitchBottom,safeDeckSwitch,selectedDeckLocation,outcomeSwitch,selectedRiskyDeck,chosenDeckId,choiceRt
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,1,1449,1,HE,Extreme,Harder than Reference,,D,safeDeck,riskyDeck,8,14,11,left,11,0,safeDeck,1284
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,2,1449,1,EE,Extreme,Easier than Reference,,F,riskyDeck,safeDeck,2,8,5,right,5,0,safeDeck,677
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,3,1449,1,HM,Moderate,Harder than Reference,,F,riskyDeck,safeDeck,8,12,10,right,10,0,safeDeck,725
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,4,1449,1,EM,Moderate,Easier than Reference,,D,safeDeck,riskyDeck,4,8,6,left,6,0,safeDeck,523
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,5,1449,1,EE,Extreme,Easier than Reference,,F,riskyDeck,safeDeck,2,8,5,right,5,0,safeDeck,498
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,6,1449,1,HM,Moderate,Harder than Reference,,D,safeDeck,riskyDeck,8,12,10,left,10,0,safeDeck,731
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,7,1449,1,HE,Extreme,Harder than Reference,,D,safeDeck,riskyDeck,14,8,11,left,11,0,safeDeck,633
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,8,1449,1,EM,Moderate,Easier than Reference,,F,riskyDeck,safeDeck,4,8,6,right,6,0,safeDeck,487
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,9,1449,1,HM,Moderate,Harder than Reference,,D,safeDeck,riskyDeck,8,12,10,left,10,0,safeDeck,803
a0235_oooku3eys9,13146,19/11/2021@22:26:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",1440,900,1391,696,rapidFire,par,mag,115709,true,10,1449,1,EM,Moderate,Easier than Reference,,D,safeDeck,riskyDeck,8,4,6,left,6,0,safeDeck,492
